"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-12","1999-01-12",1023,"CORONEL VIDAL","Buenos Aires","Nacional","1999","","BERLINA 4 PTAS.","37","RENAULT","CK","MEGANE RT TRIC 2.0","1","Privado","Física","SANTA CLARA DEL MAR","BUENOS AIRES","No identificado","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-02","2000-07-11",1062,"MERLO Nº 1","Buenos Aires","Nacional","2000","","RURAL 3 PTAS","34","PEUGEOT","AF","PARTNER BRKN","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-13","1995-01-10",1062,"MERLO Nº 1","Buenos Aires","Nacional","1995","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","MERLO","BUENOS AIRES","Femenino","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-10","2009-07-21",1082,"SALADILLO","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","SALADILLO CABECERA","BUENOS AIRES","Femenino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-13","2003-07-17",1087,"SAN ISIDRO Nº 01","Buenos Aires","Nacional","2001","","FURGON VIDRIADO","37","RENAULT","EE","KANGOO RL EXPRESS DIE DA AA","1","Privado","Física","MARTINEZ","BUENOS AIRES","Masculino","1969","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-06","2000-07-25",1119,"MORON Nº 03","Buenos Aires","Nacional","2000","","S.WAGON","08","CHEVROLET","65","CORSA WAGON 5PTAS.GL A/AC 1.7D","1","Privado","Física","HURLINGHAM","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-11","2000-09-29",1119,"MORON Nº 03","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","67","CORSA 4P GL 1.7 DIESEL A","1","Privado","Física","EL PALOMAR MORON","BUENOS AIRES","No identificado","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-12","1998-12-16",1123,"SAN MARTIN Nº 3","Buenos Aires","Nacional","1998","","SEDAN","00","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","J.L.SUAREZ","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-04","1999-05-26",1149,"LA PLATA Nº 06","Buenos Aires","Nacional","1999","","SEDAN 5 PUERTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1952","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-03-16","2009-08-26",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2009","","TRACTOR DE CARRET C/PLAT ENG","29","MERCEDES BENZ","CM","BMO 384 VERSION 1418/52 CM","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
