"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-02","2007-07-02",1062,"MERLO Nº 1","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","A.FERRARI- MERLO","BUENOS AIRES","No identificado","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-01","1996-06-04",4086,"CORDOBA Nº 25","Córdoba","Nacional","1996","","BERLINA 5 PTAS.","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","CORDOBA","CORDOBA","Masculino","1963","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-09","1987-01-07",5001,"BELLA VISTA","Corrientes","Nacional","1987","","SEMIACOPLADO","99","SALTO","99","SA 10,50","1","Privado","Física","BELLA VISTA","CORRIENTES","Masculino","1977","ARGENTINA",100,"18","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-03","1999-01-25",1185,"ADROGUE Nº 3","Buenos Aires","Nacional","1998","","BERLINA 3 PUERTAS","37","RENAULT","CC","CLIO RL DIESEL 3 PTAS.","1","Privado","Física","ADROGUÉ","BUENOS AIRES","Femenino","1950","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-01","2000-08-10",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","78","CORSA GL 1.6 MPFI 3P (AA+DP)","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Femenino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-02","1993-04-26",1199,"LANUS Nº 6","Buenos Aires","Nacional","1993","","FURGON VIDRIADO","37","RENAULT","34","RENAULT TRAFIC","1","Privado","Física","LANÚS OESTE","BUENOS AIRES","No identificado","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-29","1998-02-12",1065,"MORON Nº 02","Buenos Aires","Nacional","1998","","BERLINA 4 PTAS","37","RENAULT","CK","MEGANE RT TRIC. 2.0","1","Privado","Física","MORÓN","BUENOS AIRES","No identificado","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-01","2006-01-02",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","ISIDRO_CASANOVA","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-21","1998-07-16",13028,"MENDOZA Nº 16","Mendoza","Nacional","1998","","RURAL 4 PUERTAS","19","FORD","69","ESCORT RURAL CLX 1.8 45B","1","Privado","Física","GODOY CRUZ","MENDOZA","Femenino","1997","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-02","2008-07-08",1136,"ADROGUE Nº 2","Buenos Aires","Nacional","2008","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1,9 D PLC","1","Privado","Física","ADROGUÉ","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-29","2006-01-18",1149,"LA PLATA Nº 06","Buenos Aires","Nacional","2006","","FURGON VIDRIADO CON","37","RENAULT","NP","KANGOO RL EXPRESS DIE 1PCL AA","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-06-01","1999-03-05",4075,"CORDOBA Nº 22","Córdoba","Nacional","1999","","BERLINA 5 PTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1986","ARGENTINA",100,"14","ARG"
