"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-19","2002-01-09",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","2001","","COMBI 3550","29","MERCEDES BENZ","AE","SPRINTER 312D/C3550","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Femenino","1998","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-25","1993-04-01",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1993","","FURGON LARGO","37","RENAULT","86","RENAULT TRAFIC","1","Privado","Física","LUIS GUILLON","BUENOS AIRES","No identificado","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-26","1998-01-08",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Nacional","1998","","COMBI 3550","29","MERCEDES-BENZ","93","SPRINTER 310 D / C3550","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1944","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-10","1995-01-10",21038,"ARROYO SECO Nº 1","Santa Fe","Nacional","1995","","BERLINA 5 PTAS.","37","RENAULT","90","19 RN BIC.","1","Privado","Física","ARROYO SECO","SANTA FE","Masculino","1986","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-11","1995-05-24",21043,"ROSARIO Nº 08","Santa Fe","Nacional","1995","","BERLINA 5 PUERTAS","37","RENAULT","AH","RENAULT 19 RN INYECCION BIC.","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1982","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-04","1992-12-03",21045,"ROSARIO Nº 10","Santa Fe","Nacional","1992","","SEDAN 5 PUERTAS","19","FORD","40","ESCORT LX","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1942","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-20","2005-12-07",21056,"ROSARIO Nº 13","Santa Fe","Nacional","2005","","FOURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1979","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-14","2000-10-30",1088,"SAN MARTIN Nº 1","Buenos Aires","Nacional","2000","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","SAN ANDRES","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-27","1998-06-19",21070,"ROSARIO Nº 18","Santa Fe","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 4D WORLD CUP","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1956","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-07","1996-01-19",1092,"SAN NICOLAS Nº 1","Buenos Aires","Nacional","1996","","BERLINA 5PTAS.","37","RENAULT","AH","19 RN INYECCION BIC.","9","No declarado","Física","SAN NICOLAS","BUENOS AIRES","No identificado","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-25","1987-07-10",1096,"TIGRE Nº 1","Buenos Aires","Nacional","1987","","TRACTOR DE CARRETERA","29","MERCEDES BENZ","19","LO 1114/48 FA","1","Privado","Física","DON TORCUATO","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-06","1985-07-30",1100,"TRES DE FEBRERO Nº 1","Buenos Aires","Nacional","1985","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","CASEROS","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-24","2006-12-19",1107,"LANUS Nº 2","Buenos Aires","Protocolo 21","2006","","PLATAFORMA HIDRAULIC","136","VOLKSWAGEN","173","9.150","1","Privado","Física","LANÚS OESTE","BUENOS AIRES","No identificado","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-28","1998-06-10",1119,"MORON Nº 03","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS.","1","Privado","Física","CASTELAR","BUENOS AIRES","Masculino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-13","2000-04-24",1139,"SAN ISIDRO Nº 03","Buenos Aires","Nacional","2000","","FURGON 3550","29","MERCEDES BENZ","AC","SPRINTER 312D/F3550","1","Privado","Física","BECCAR","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-13","2009-12-30",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","2009","","RURAL 5 PTAS","53","VOLKSWAGEN","MB","SURAN SDI 90B","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-21","1993-07-21",1165,"SAN FERNANDO Nº 2","Buenos Aires","Nacional","1993","","FURGON VIDRIADO","17","FIAT","64","FIORINO N","1","Privado","Física","SAN FERNANDO","BUENOS AIRES","Femenino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-03","2008-10-14",1181,"TRES DE FEBRERO Nº 4","Buenos Aires","Nacional","2008","","RURAL 5 PUERTAS","53","VOLKSWAGEN","MD","SURAN SDI","1","Privado","Física","CIUDADELA","BUENOS AIRES","No identificado","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-06","2001-07-25",1186,"MORENO Nº 2","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","57","CORSA 4 PTAS. WIND 1.6 MPFI","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-26","2001-01-05",1199,"LANUS Nº 6","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS. GLS 1.7 DIE","1","Privado","Física","LANUS ESTE","BUENOS AIRES","No identificado","1974","URUGUAY",100,"06","URY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-31","2000-10-19",1202,"MAR DEL PLATA Nº 09","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","84","CORSA 3P. CITI 1.0 N","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-10","1997-09-03",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","1997","","BERLINA 4 PTAS","37","RENAULT","AJ","RENAULT 19 RN INYEC.(TRI)","1","Privado","Física","LOS POLVORINES","BUENOS AIRES","Masculino","1951","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-08-13","1995-01-09",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Importado","1993","","AUTO","102","NISSAN","143","NX 2000","1","Privado","Física","LOS POLVORINES","BUENOS AIRES","Masculino","2001","ARGENTINA",100,"06","ARG"
"COMUNICACIÓN DE RECUPERO","2020-08-19","2009-03-11",1206,"OLIVOS Nº 07","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","FLORIDA","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
