"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-14","1998-08-10",1001,"ADROGUE Nº 1","Buenos Aires","Nacional","1998","","RURAL 4 PTAS","19","FORD","67","ESCORT RURAL LX 1.8 N45B","1","Privado","Física","ADROGUE","BUENOS AIRES","Masculino","1955","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-10","1995-02-07",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","1995","","FURGON VIDRIADO C/AS","37","RENAULT","37","RENAULT TRAFIC","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","No identificado","1964","ARGENTINA",100,"06","ARG"
"COMUNICACIÓN DE RECUPERO","2020-01-16","2006-05-10",1043,"LA PLATA Nº 01","Buenos Aires","Nacional","2006","","FGON.VID.C/ASIENTOS","37","RENAULT","NP","KANGOO RL EXPRESS DIE 1PCL AA","1","Privado","Jurídica","LA PLATA","BUENOS AIRES","No aplica","2000","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-07","1997-05-07",1046,"LA PLATA Nº 04","Buenos Aires","Nacional","1997","","FURGON 3000","29","MERCEDES BENZ","00","SPRINTER 310D/F3000","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-17","2007-09-26",1047,"LANUS Nº 1","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","V.DIAMANTE","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-20","1999-11-11",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","1999","","FURGON 3000","29","MERCEDES BENZ","90","SPRINTER 3 10D/F3000","1","Privado","Física","BANFIELD","BUENOS AIRES","Femenino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-09","1999-03-02",1062,"MERLO Nº 1","Buenos Aires","Nacional","1999","","BERLINA 5 PUERTAS","37","RENAULT","CD","CLIO RL DIESEL 5 PTAS DA","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-17","2008-11-14",1087,"SAN ISIDRO Nº 01","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","ACASSUSO","BUENOS AIRES","Masculino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-14","1999-07-12",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","51","CORSA 4 PUERTAS GL","1","Privado","Física","BELLA VISTA","BUENOS AIRES","Femenino","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-22","2005-01-13",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","2005","","BERLINA 4 PTAS","37","RENAULT","NS","MEGANE TRI 1.6+ ECO","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","No identificado","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-22","1999-11-26",1092,"SAN NICOLAS Nº 1","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL1.7 DIESEL A","1","Privado","Física","LA EMILIA","BUENOS AIRES","Femenino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-02","1999-06-09",1113,"SAN VICENTE","Buenos Aires","Protocolo 21","1999","","FURGON VIDRIADO C/ASIENTOS","112","RENAULT","301","EXPRESS RL","1","Privado","Física","GUERNICA-PTE.PERON","BUENOS AIRES","Masculino","1963","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-21","2007-08-15",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","CASEROS","BUENOS AIRES","Femenino","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-29","1999-09-08",1119,"MORON Nº 03","Buenos Aires","Nacional","1999","","SIN ESPECIFICACION","08","CHEVROLET","57","CORSA 4 PTAS.WIND 1.7 D","1","Privado","Física","V.SARMIENTO-MORON","BUENOS AIRES","No identificado","1962","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-03","2009-06-01",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2009","","RURAL 5 PTAS","53","VOLKSWAGEN","MC","SURAN SDI 90D","1","Privado","Física","TAPIALES","BUENOS AIRES","Femenino","1959","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-28","2000-07-10",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2000","","RURAL","08","CHEVROLET","65","CORSA WAGON GL A/AC 1.7D","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","Masculino","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-29","2001-05-30",1121,"MAR DEL PLATA Nº 03","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS WIND 1.6 MPFI","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-22","2000-09-13",1134,"LANUS Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS GLS 1.6 8V N","1","Privado","Física","MONTE CHINGOLO","BUENOS AIRES","No identificado","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-21","1998-10-22",1135,"LANUS Nº 4","Buenos Aires","Protocolo 21","1998","","RURAL 5 PUERTAS","044","FIAT","406","PALIO WEEKEND 1.6 SPI","1","Privado","Física","LANÚS ESTE","BUENOS AIRES","Masculino","1960","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-14","1991-05-27",1136,"ADROGUE Nº 2","Buenos Aires","Nacional","1991","","BERLINA 4 PTAS.","37","RENAULT","54","RENAULT 18 GTD","1","Privado","Física","RAFAEL CALZADA PDO DE A. BROWN","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-21","2007-09-21",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Nacional","2007","","FURGON VID.C/ASIENTOS","37","RENAULT","TE","KANGOO EXP CONFORT 1.9 AA","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Femenino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-03","1999-02-09",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS","37","RENAULT","BU","CLIO RN 5 PTAS.","1","Privado","Física","LA TABLADA","BUENOS AIRES","Femenino","1998","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-17","1997-10-01",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","1997","","SEMIRREMOLQUE CARRET","65","COMAR","23","S8-10","1","Privado","Física","LUIS GUILLÓN","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-10","1992-06-04",1156,"HURLINGHAM Nº 1 (EX. MORON Nº 4)","Buenos Aires","Nacional","1992","","BREAK 4 PUERTAS","37","RENAULT","79","R18 TX BREAK","1","Privado","Física","HURLINGHAM","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-23","1989-09-19",1168,"MORON Nº 06","Buenos Aires","Nacional","1989","","BERLINA 5 PTAS.","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","HURLINGHAM","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-03","1995-09-27",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","1995","","SEMIRREMOLQUE BARAND VOL","03","MONTENEGRO","46","S.B.V.3","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Femenino","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-07","2006-09-27",1175,"LANUS Nº 5","Buenos Aires","Protocolo 21","2006","","CHASIS C/ CABINA","092","MERCEDES BENZ","167","OF-1417","1","Privado","Física","LANÚS OESTE","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-30","2007-09-18",1188,"LA PLATA Nº 07","Buenos Aires","Nacional","2007","","FURGON VIDRIADO C/AS","37","RENAULT","TE","KANGOO EXP CONFORT 1.9 AA","1","Privado","Jurídica","LA PLATA","BUENOS AIRES","No aplica","1994","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-17","2008-08-21",1202,"MAR DEL PLATA Nº 09","Buenos Aires","Nacional","2008","","FOURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D PLC","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-06","2001-02-23",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Nacional","2001","","FURGON VIDRIADO","53","VOLKSWAGEN","58","CADDY 1.9 SD 001","1","Privado","Física","LOS POLVORINES","BUENOS AIRES","Femenino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-14","1999-08-31",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","1999","","UNIDAD TRACTORA","51","SCANIA","58","R 114 GA 4X2 NZ 360","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Femenino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-21","2000-06-27",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","2000","","RURAL 3 PTAS","34","PEUGEOT","03","PARPADDA","1","Privado","Física","9 DE ABRIL","BUENOS AIRES","Masculino","1972","BOLIVIA",100,"06","BOL"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-30","2006-01-18",1221,"PILAR Nº 2","Buenos Aires","Nacional","2006","","FOURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-01-20","2000-09-21",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2000","","RURAL 3 PUERTAS","07","CITROEN","03","BERLINGO NPL","1","Privado","Física","V. DEL PINO","BUENOS AIRES","No identificado","1979","ARGENTINA",100,"06","ARG"
