"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-21","2007-11-20",2021,"CAPITAL FEDERAL Nº 021","Ciudad Autónoma de Bs.As.","Protocolo 21","2007","","CAMION VOLCADOR","047","FORD","745","CARGO 1722E","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1998","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-12","2000-01-03",1245,"LA PLATA Nº 11","Buenos Aires","Nacional","2000","","3 PTAS","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","LOS HORNOS","BUENOS AIRES","Femenino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-01","2011-04-19",1261,"MARCOS PAZ","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KD","PARTNER PRESENCE 1.4","1","Privado","Física","MARCOS PAZ","BUENOS AIRES","No identificado","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-20","2001-09-04",2080,"CAPITAL FEDERAL Nº 080","Ciudad Autónoma de Bs.As.","Nacional","2001","","BERLINA 4 PTAS.","37","RENAULT","FC","MEGANE RN TD TRI AA F2","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1993","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-27","2000-09-01",1246,"LA PLATA Nº 12","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-20","2006-12-11",1285,"ESTEBAN ECHEVERRIA Nº 4","Buenos Aires","Nacional","2006","","FURGON VID C/ASIENTO","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","EL JAGUEL","BUENOS AIRES","No identificado","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-21","2010-05-28",1259,"SAN MARTIN Nº 8","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","VILLA LIBERTAD","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-01","1993-10-22",1278,"ZARATE Nº 3","Buenos Aires","Nacional","1993","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN BIC","1","Privado","Física","ZÁRATE","BUENOS AIRES","Femenino","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-20","2008-01-17",1234,"ADROGUE Nº 4","Buenos Aires","Importado","2008","","PICK-UP CABINA DOBLE","158","DODGE",".82","RAM 2500 LARAMIE 4X4TD HEAVY DUTY - 2008","1","Privado","Física","CLAYPOLE-PDO-ALTE.BROWN","BUENOS AIRES","Masculino","1971","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-06","1999-07-23",1221,"PILAR Nº 2","Buenos Aires","Nacional","1999","","BERLINA 4 PTAS","37","RENAULT","CZ","MEGANE RT DT TRIC","1","Privado","Física","PILAR","BUENOS AIRES","No identificado","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-01","2011-01-25",4001,"ALTA GRACIA Nº 1","Córdoba","Nacional","2011","","BERLINE 5 PORTES","34","PEUGEOT","JP","207 COMPACT XT 1.6 5P","1","Privado","Física","VILLA LA BOLSA","CORDOBA","No identificado","1993","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-08","2005-09-05",1218,"MORON Nº 04 (EX. MORON Nº 9)","Buenos Aires","Protocolo 21","2005","","CHASISC/CABC/CAJ/METALICA","092","MERCEDES BENZ","730","OF-1417","1","Privado","Física","MORÓN","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-27","1997-07-01",4060,"CORDOBA Nº 17","Córdoba","Nacional","1997","","BERLINA 5 PUERTAS","37","RENAULT","AH","RENAULT 19 RN INYEC BIC","1","Privado","Física","CORDOBA","CORDOBA","Masculino","1969","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-18","2000-09-15",1307,"LANUS Nº 10","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PUERTAS 1.0N","1","Privado","Física","LANUS","BUENOS AIRES","No identificado","1978","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-20","1991-05-24",1252,"QUILMES Nº 5 (EX 9)","Buenos Aires","Nacional","1991","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","VILLA LA FLORIDA","BUENOS AIRES","No identificado","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-12","2003-07-10",1293,"PILAR Nº 4","Buenos Aires","Nacional","2003","","BERLINA 4 PTAS","37","RENAULT","MT","MEGANE TRIC SPORTWAY S/CUERO","1","Privado","Física","DEL VISO","BUENOS AIRES","Masculino","1976","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-08","2000-05-26",4059,"CORDOBA Nº 16","Córdoba","Nacional","2000","","RURAL 3 PUERTAS","07","CITROEN","06","BERLINGO DPL","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1980","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-08","1998-03-27",1231,"TRES DE FEBRERO Nº 5","Buenos Aires","Importado","1998","","MINIBUS 12 ASIENTOS","104","PEUGEOT","133","BOXER 320M 2.5D","1","Privado","Física","MARTIN CORONADO-3 DE FEBRERO","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-22","2004-01-13",1209,"BERAZATEGUI Nº 3","Buenos Aires","Nacional","2004","","FURGON VIDRIADO C/AS","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","BERAZATEGUI","BUENOS AIRES","No identificado","1979","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-05","1999-08-02",1244,"LA MATANZA Nº 11","Buenos Aires","Nacional","1999","","FURGON VIDRIADO","37","RENAULT","DG","TRAFIC CORTO DIESEL (F8Q)","1","Privado","Física","RAMOS MEJÍA","BUENOS AIRES","Femenino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-04-04","2006-02-09",1271,"JOSE C. PAZ Nº 2","Buenos Aires","Nacional","2006","","FURGON COURT TYPE 60","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","JOSÉ C. PAZ","BUENOS AIRES","No identificado","1997","ARGENTINA",100,"06","ARG"
