"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-23","2007-11-07",1128,"SAN MIGUEL Nº 2","Buenos Aires","Nacional","2007","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","Masculino","1989","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-10","1996-08-08",1233,"LANUS Nº 7","Buenos Aires","Importado","1996","","MINIBUS","047","FORD","014","TRANSIT","1","Privado","Física","LANÚS OESTE","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-11","1998-01-22",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS.","37","RENAULT","BS","CLIO RN 3PTAS PACK AA.","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Femenino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-26","2011-09-28",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","2011","","UTILITARIO","08","CHEVROLET","CW","CLASSIC 3 PTAS CARGO + AA 1.4N","1","Privado","Física","CASEROS","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-23","1999-07-30",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","61","CORSA 4 PTAS.WIND 1.7 D","1","Privado","Física","CIUDAD EVITA-LA MATANZA","BUENOS AIRES","Masculino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-12","1994-06-16",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN BIC","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-26","2005-03-30",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Protocolo 21","2005","","CAMION CON CAJA CERRADA","D18","VOLKSWAGEN/MARCOPOLO","003","17.210 OD/CITMAX","1","Privado","Física","JOSE MARMOL","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"COMUNICACIÓN DE RECUPERO","2022-08-03","1998-09-22",1069,"OLIVOS Nº 01","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","53","CORSA 4 PTAS GLS 1.6 MPFI","1","Privado","Física","VICENTE LOPEZ","BUENOS AIRES","Femenino","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-11","1999-04-23",1044,"LA PLATA Nº 02","Buenos Aires","Nacional","1999","","S.WAGON","08","CHEVROLET","66","CORSA WAGON 5 PTAS GLS 1.","1","Privado","Física","SAN LORENZO","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-11","2003-02-07",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2003","","CAMION TRACTOR","67","IVECO","16","450E37T","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-08","1993-07-16",1201,"MAR DEL PLATA Nº 08","Buenos Aires","Nacional","1993","","BERLINA 5 PTAS.","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","COMANDANTE NICANOR OTAMENDI","BUENOS AIRES","Femenino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-25","2009-05-29",1181,"TRES DE FEBRERO Nº 4","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","SAENZ PEÑA","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-24","2000-08-11",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","2000","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Femenino","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-10","1997-08-27",1087,"SAN ISIDRO Nº 01","Buenos Aires","Nacional","1997","","CH.CABINA 3550","29","MERCEDES BENZ","95","SPRINTER310D/CH3550","1","Privado","Física","MARTINEZ","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-22","2001-05-10",1062,"MERLO Nº 1","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","52","CORSA 4 PUERTAS GL A/A Y D/P","1","Privado","Física","LIBERTAD","BUENOS AIRES","Masculino","1974","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-12","2000-05-19",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","5S","CORSA WIND 1.7 DIESEL-3P","1","Privado","Física","LLAVALLOL","BUENOS AIRES","Masculino","1961","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-02","2002-05-06",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","2002","","FURGON FAMILIAR","34","PEUGEOT","88","PARTNER PATAGONICA 2 PLC N AA","1","Privado","Física","SAN_MIGUEL","BUENOS AIRES","No identificado","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-02","1999-07-02",1236,"OLIVOS Nº 09","Buenos Aires","Nacional","1999","","RURAL 4 PTAS","19","FORD","JJ","ESCORT RURAL LX 1.8 N","1","Privado","Física","OLIVOS-VTE. LOPEZ","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-02","1997-05-20",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS","37","RENAULT","BS","CLIO RN 3PTAS PACK AA.","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","Masculino","2001","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-09","2010-04-13",1167,"LOMAS DE ZAMORA Nº 5","Buenos Aires","Nacional","2010","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","TEMPERLEY","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-05","2005-09-14",1178,"LA MATANZA Nº 08","Buenos Aires","Protocolo 21","2005","","FURGON VID C/ASIENTO","044","FIAT","305","FIORINO 1.7 TD","1","Privado","Física","RAFAEL CASTILLO","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-01","1997-05-21",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS.","37","RENAULT","00","CLIO RT 5PTAS.AA.DA.","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-01","2009-05-08",1113,"SAN VICENTE","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","SAN VICENTE","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-05","1988-08-03",1231,"TRES DE FEBRERO Nº 5","Buenos Aires","Nacional","1988","","SEDAN 4 PTAS","19","FORD","33","FORD ESCORT","1","Privado","Física","PABLO PODESTÁ","BUENOS AIRES","Masculino","2001","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-10","2002-04-19",1247,"GENERAL RODRIGUEZ Nº 2","Buenos Aires","Nacional","2002","","FURGON VID C/ASIENTO","07","CITROEN","10","BERFUD8PLDAA","1","Privado","Física","CIUDAD DEL LIBERTADOR","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-18","1998-10-30",1149,"LA PLATA Nº 06","Buenos Aires","Nacional","1998","","S. WAGON","08","CHEVROLET","66","CORSA WAGON GLS 1.7 DIESEL.","1","Privado","Física","MELCHOR ROMERO","BUENOS AIRES","Femenino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-05","2000-03-09",1064,"MORENO Nº 1","Buenos Aires","Protocolo 21","2000","","FURGON TERMICO C/ EQ. FRIO","092","MERCEDES BENZ","536","L 1218 R","1","Privado","Física","TRUJUI","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-12","1996-06-03",1247,"GENERAL RODRIGUEZ Nº 2","Buenos Aires","Nacional","1996","","CHASIS C/CAB.P/CAMIO","29","MERCEDES BENZ","50","BM384 VERSION 1215","1","Privado","Física","GENERAL RODRI­GUEZ","BUENOS AIRES","Femenino","1958","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-11","2011-05-24",1135,"LANUS Nº 4","Buenos Aires","Nacional","2011","","FURGON    800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","LANUS","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-02","2004-02-10",1180,"CAMPANA Nº 2","Buenos Aires","Nacional","2004","","BERLINA 4 PTAS","37","RENAULT","MX","MEGANE RL TRI GNC AA","1","Privado","Física","CAMPANA","BUENOS AIRES","Femenino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-22","2012-01-05",1192,"MORON Nº 07","Buenos Aires","Nacional","2012","","FURG.VID.C/ASIENTOS","07","CITROEN","AG","BERLINGO FURGON 1.6I HDI FULL AM52","1","Privado","Física","CASTELAR","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-17","1992-12-03",1132,"PINAMAR","Buenos Aires","Nacional","1991","","BERLINA 5 PTAS","37","RENAULT","20","11 TS","1","Privado","Física","PINAMAR","BUENOS AIRES","No identificado","1956","BOLIVIA",50,"06","BOL"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-19","1984-10-05",1289,"QUILMES Nº 9","Buenos Aires","Nacional","1984","","CAMION VOLCADOR","17","FIAT","15","697N","1","Privado","Física","QUILMES","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-01","2002-02-14",1295,"EZEIZA Nº 2","Buenos Aires","Nacional","2002","","BERLINA 5 PTAS","37","RENAULT","EZ","MEGANE RXE BIC ABS F2","1","Privado","Física","EZEIZA","BUENOS AIRES","Masculino","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-09","2000-03-14",1311,"LA MATANZA Nº 14","Buenos Aires","Nacional","2000","","S.WAGON","08","CHEVROLET","66","CORSA WAGON 5 PTAS GLS 1.7D","1","Privado","Física","CIUDAD EVITA - LA MATANZA","BUENOS AIRES","No identificado","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-25","1991-05-16",1262,"PERGAMINO Nº 3","Buenos Aires","Nacional","1991","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","EL SOCORRO","BUENOS AIRES","Masculino","1959","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-26","1999-11-03",2043,"CAPITAL FEDERAL Nº 043","Ciudad Autónoma de Bs.As.","Nacional","1999","","BERLINA 3 PUERTAS","37","RENAULT","CA","CLIO RL 3PTAS","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1973","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-24","1985-07-31",2043,"CAPITAL FEDERAL Nº 043","Ciudad Autónoma de Bs.As.","Nacional","1985","","PICK UP MUDANCERO","19","FORD","11","F-100","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1973","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-19","2000-09-01",2055,"CAPITAL FEDERAL Nº 055","Ciudad Autónoma de Bs.As.","Nacional","2000","","SEDAN","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL 3P","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1985","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-19","2008-04-29",2038,"CAPITAL FEDERAL Nº 038","Ciudad Autónoma de Bs.As.","Nacional","2008","","FURGON 600","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1974","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-09","1994-01-26",4061,"CORDOBA Nº 18","Córdoba","Importado","1994","","AUTOMOVIL","032","DAIHATSU","009","CUORE","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1968","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-02","1999-01-15",5014,"CORRIENTES Nº 4","Corrientes","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL 1.7 DIE","1","Privado","Física","CORRIENTES","CORRIENTES","Femenino","1984","ARGENTINA",100,"18","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-01","1998-09-25",1266,"MALVINAS ARGENTINAS Nº 3","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","62","CORSA 4P.GL 1.7 DIES BASE","1","Privado","Física","TORTUGUITAS","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-29","1991-02-07",2077,"CAPITAL FEDERAL Nº 077","Ciudad Autónoma de Bs.As.","Nacional","1991","","RURAL 4 PUERTAS","37","RENAULT","61","18 GTS BREAK","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1950","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-08","1999-01-08",4055,"CORDOBA Nº 14","Córdoba","Nacional","1999","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS.","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1995","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-17","2001-01-19",2026,"CAPITAL FEDERAL Nº 026","Ciudad Autónoma de Bs.As.","Nacional","2001","","FURGON 4P","34","PEUGEOT","10","PARFUD8PLDA","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1976","URUGUAY",100,"02","URY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-12","2011-04-15",1305,"HURLINGHAM Nº 3","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","VILLA TESEI","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-25","2006-04-28",2096,"CAPITAL FEDERAL Nº 096","Ciudad Autónoma de Bs.As.","Protocolo 21","2006","","CH C/ CAB. C/ PORTA VOLQUETE","092","MERCEDES BENZ","539","1720","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1993","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-05","2011-03-31",22010,"LA BANDA Nº 2","Santiago del Estero","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","FERNANDEZ","SGO.DEL ESTERO","Masculino","1976","ARGENTINA",100,"86","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-08","2000-08-22",1308,"MERLO Nº 4","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL-3P","1","Privado","Física","MERLO","BUENOS AIRES","Femenino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-25","1999-06-11",8026,"GUALEGUAY Nº 2","Entre Ríos","Nacional","1999","","BERLINA 4 PTAS.","37","RENAULT","CZ","MEGANE RT DT TRIC","1","Privado","Física","GUALEGUAY","ENTRE RIOS","No identificado","1977","ARGENTINA",100,"30","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-30","1994-06-01",2046,"CAPITAL FEDERAL Nº 046","Ciudad Autónoma de Bs.As.","Protocolo 21","1994","","BREAK","044","FIAT","021","ELBA WEEKEND","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1964","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-17","2000-08-10",4044,"CORDOBA Nº 11","Córdoba","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1990","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-31","1992-12-21",13035,"MENDOZA Nº 19","Mendoza","Protocolo 21","1992","","SEDAN","","FIAT","","UNO TREND","1","Privado","Física","DORREGO","MENDOZA","Masculino","1989","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-18","1998-09-25",1305,"HURLINGHAM Nº 3","Buenos Aires","Nacional","1998","","BERLINA 4 PTAS","37","RENAULT","CK","MEGANE RT TRIC. 2.0","1","Privado","Física","VILLA TESEI","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-10","1994-04-21",1299,"MAR DEL PLATA Nº 13","Buenos Aires","Nacional","1994","","BERLINA 4 PTAS","37","RENAULT","62","RENAULT 21 TXE","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-08-04","2010-11-04",1124,"LANUS Nº 9","Buenos Aires","Nacional","2010","99","FURGON VID. C/ASIENTOS","37","RENAULT","WA","KANGOO CONFORT 1.5 DCICDAADASVT1P(600KG)","1","Privado","Física","REMEDIOS DE ESCALADA","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
