"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-10","2007-10-25",13011,"MENDOZA Nº 05","Mendoza","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","VILLA HIPÓDROMO","MENDOZA","Masculino","1979","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-10","1996-09-03",1119,"MORON Nº 03","Buenos Aires","Nacional","1996","","SEDAN 3 PTAS.-","53","VOLKSWAGEN","11","GOL GLD","1","Privado","Física","CASTELAR","BUENOS AIRES","Masculino","1966","ARGENTINA",33,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-11","1998-12-22",1231,"TRES DE FEBRERO Nº 5","Buenos Aires","Nacional","1998","","BERLINA 3 PTAS","37","RENAULT","BS","CLIO RN 3 PTAS PACK AA.","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-26","1999-08-24",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","52","CORSA 4 PUERTAS GL A/A Y D/P","1","Privado","Física","LAFERRERE","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-11","2009-11-03",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-03","2002-05-09",1130,"GENERAL RODRIGUEZ Nº 1","Buenos Aires","Nacional","2002","","FOURGON COURT TYPE 600","34","PEUGEOT","07","PARFUD6PL","1","Privado","Física","GRAL.RODRIGUEZ","BUENOS AIRES","Femenino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-31","2010-07-08",1223,"EZEIZA Nº 1 (EX. ESTEBAN ECHEVERRIA NO 4)","Buenos Aires","Protocolo 21","2010","","TRACTOR C/CABINA DOR","092","MERCEDES BENZ","929","AXOR 2044 S","1","Privado","Jurídica","EZEIZA","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-31","1999-02-19",1148,"LOMAS DE ZAMORA Nº 4","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS. GLS 1.7 D","1","Privado","Física","VILLA FIORITO","BUENOS AIRES","Masculino","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-17","1998-10-29",1152,"LA MATANZA Nº 04","Buenos Aires","Importado","1998","","FURGON VID C/ASIENTO","044","FIAT","132","DUCATO 2.5D P.M. 14","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-05-16","1992-07-21",1220,"AVELLANEDA Nº 6","Buenos Aires","Nacional","1992","","FURGON VIDRIADO","37","RENAULT","34","RENAULT TRAFIC","1","Privado","Física","VILLA DOMÍNICO","BUENOS AIRES","No identificado","1993","ARGENTINA",100,"06","ARG"
