"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-30","2011-06-30",1045,"LA PLATA Nº 03","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","LA PLATA","BUENOS AIRES","No identificado","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-30","2001-05-31",1114,"CAÑUELAS","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS WIND 1.6 MPFI","1","Privado","Física","CAÑUELS","BUENOS AIRES","Femenino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-28","2001-06-27",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","78","CORSA GL 1.6 MPFI 3P (AA+DP)","1","Privado","Física","CIUDAD JARDIN LOMAS DEL PALOMAR","BUENOS AIRES","No identificado","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-23","2000-12-19",1123,"SAN MARTIN Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","80","CORSA GL 1.6 MPFI 5P AA+DP","1","Privado","Física","V.BALLESTER","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-22","1999-04-12",1214,"ITUZAINGO Nº 1 (EX. MORON Nº 8)","Buenos Aires","Protocolo 21","1999","","FURGON VIDRIADO","044","FIAT","013","FIORINO 1.7 DIESEL","1","Privado","Física","ITUZAINGO","BUENOS AIRES","No identificado","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2008-01-04",1237,"LOMAS DE ZAMORA Nº 7","Buenos Aires","Protocolo 21","2008","","FURGON VIDRIADO C/ASIENTOS","112","RENAULT","135","MASTER DCI 120 CORTO","1","Privado","Física","ING. BUDGE","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-29","2001-04-10",1257,"MORENO Nº 3","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL1.7 DIESEL A","1","Privado","Física","MORENO","BUENOS AIRES","Femenino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","1999-01-11",2010,"CAPITAL FEDERAL Nº 010","Ciudad Autónoma de Bs.As.","Nacional","1999","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1966","BOLIVIA",100,"02","BOL"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-28","1995-04-03",2014,"CAPITAL FEDERAL Nº 014","Ciudad Autónoma de Bs.As.","Nacional","1995","","CAJA PAQUETERA","19","FORD","15","F-100 NAFTA","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1961","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-24","1999-09-09",2024,"CAPITAL FEDERAL Nº 024","Ciudad Autónoma de Bs.As.","Importado","1999","","FURGON VIDRIADO","093","MITSUBISHI","150","L300 2.5D","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1986","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-22","2005-06-28",2029,"CAPITAL FEDERAL Nº 029","Ciudad Autónoma de Bs.As.","Nacional","2005","","MICROOMNIBUS","29","MERCEDES BENZ","CD","OH 1115 L - SB / 46 C. AUT","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1975","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-23","1999-02-24",4045,"CORDOBA Nº 12","Córdoba","Nacional","1999","","COMBI 3550","29","MERCEDES BENZ","93","SPRINTER 310 D C3550","1","Privado","Física","CORDOBA","CORDOBA","Masculino","1963","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","1996-04-11",21059,"ROSARIO Nº 16","Santa Fe","Nacional","1996","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYEC. BIC.","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1959","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","1997-04-24",1001,"ADROGUE Nº 1","Buenos Aires","Importado","1997","10","TODO TERRENO","127","SUZUKI","004","VITARA JLX(TECHO DE LONA)","1","Privado","Física","ALTE.BROWN","BUENOS AIRES","No identificado","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-29","2014-03-11",1001,"ADROGUE Nº 1","Buenos Aires","Protocolo 21","2014","02","SEDAN 4 PUERTAS","130","TOYOTA","858","ETIOS XLS 1.5 M/T","1","Privado","Física","JOSÉ MÁRMOL","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-23","2011-03-03",1004,"AVELLANEDA Nº 1","Buenos Aires","Importado","2011","10","TODO TERRENO","151","JEEP","063","CHEROKEE LIMITED 3.7","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2005-01-24",1004,"AVELLANEDA Nº 1","Buenos Aires","Nacional","2005","17","SEDAN 5 PTAS","34","PEUGEOT","CK","206 XR PREMIUM 1.6 5P","1","Privado","Física","WILDE","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2006-06-16",1004,"AVELLANEDA Nº 1","Buenos Aires","Importado","2006","02","SEDAN 4 PTAS","136","VOLKSWAGEN","335","BORA 1.8T","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-24","2012-10-10",1005,"AVELLANEDA Nº 2","Buenos Aires","Importado","2012","21","COUPE","136","VOLKSWAGEN","485","SCIROCCO 2.0 TSI","1","Privado","Física","WILDE","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","1995-04-26",1005,"AVELLANEDA Nº 2","Buenos Aires","Importado","1995","02","SEDAN 4 PTAS","055","HONDA","012","ACCORD EX","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","No identificado","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-28","2012-01-30",1005,"AVELLANEDA Nº 2","Buenos Aires","Protocolo 21","2012","05","SEDAN 5 PUERTAS","136","VOLKSWAGEN","348","FOX 1.6","1","Privado","Física","WILDE","BUENOS AIRES","Femenino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-30","2016-03-11",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","2016","17","SEDAN 5 PUERTAS","53","VOLKSWAGEN","ZG","SURAN 1.6 5D 057","1","Privado","Física","WILDE","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2005-09-14",1011,"BARADERO","Buenos Aires","Nacional","2005","22","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","KB","KANGOO RN EXP.DIE DA AA2PL/2005","1","Privado","Física","BARADERO","BUENOS AIRES","No identificado","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-23","2017-02-24",1025,"CHASCOMUS","Buenos Aires","Nacional","2017","20","PICK-UP","19","FORD","YU","NUEVA RANGER DC 4X2 XL 2.2L D","1","Privado","Física","LEZAMA","BUENOS AIRES","Masculino","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2017-08-16",1025,"CHASCOMUS","Buenos Aires","Nacional","2017","31","SEMIRREMOLQUE","EX","EL FIERRO","08","SEMIRREMOLQUE BATEA PARA CARGA GENERAL BAT 28 3E","1","Privado","Física","MANUEL JOSÉ COBO (ESTACIÓN LEZAMA)","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2000-07-14",1025,"CHASCOMUS","Buenos Aires","Nacional","2000","29","TRACTOR DE CARRETERA","67","IVECO","08","190E31","1","Privado","Física","LEZAMA","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-23","2004-07-28",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","2004","20","PICK-UP","19","FORD","PE","RANGER XL C/C 4X4 2.8L D","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","No identificado","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-23","2006-02-28",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Protocolo 21","2006","05","SEDAN 5 PTAS","024","CHEVROLET","342","ZAFIRA GLS","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-24","2019-03-14",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","2019","20","PICK-UP","68","TOYOTA","94","HILUX 4X4 D/C SRV 2.8 TDI 6 A/T","1","Privado","Física","LUIS GUILLÓN","BUENOS AIRES","Masculino","1941","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-24","1999-07-16",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1999","17","SEDAN 5 PTAS","19","FORD","MX","ESCORT GL 5P N","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2007-01-03",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Importado","2007","02","SEDAN 4 PTAS","136","VOLKSWAGEN","335","BORA 1.8T","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","No identificado","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2007-03-01",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Protocolo 21","2007","17","CHASIS C/CABINA","063","IVECO","119","DAILY 35.10","1","Privado","Física","LUIS GUILLÓN","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2018-01-31",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Protocolo 21","2018","02","SEDAN 4 PUERTAS","024","CHEVROLET","704","PRISMA JOY 4P 1.4 N LS MT +","1","Privado","Física","LUIS GUILLÓN","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-29","2000-08-18",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","2000","19","SEDAN 5 PTS","19","FORD","36","ESCORT GHIA 1.8","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","No identificado","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-29","1998-05-06",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1998","12","SEDAN 4 PTAS","34","PEUGEOT","61","306XRD4P /1998","1","Privado","Física","LUIS GUILLON","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-23","2011-06-29",1030,"FLORENCIO VARELA Nº 1","Buenos Aires","Nacional","2011","17","SEDAN 5 PTAS","37","RENAULT","UG","CLIO 5 PTAS PACK PLUS","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-28","2007-02-09",1030,"FLORENCIO VARELA Nº 1","Buenos Aires","Protocolo 21","2007","04","RURAL 5 PTAS","136","VOLKSWAGEN","276","GOL COUNTRY 1.6","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","Masculino","1972","PERU",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-04-27","2014-12-02",1037,"GENERAL VILLEGAS","Buenos Aires","Nacional","2014","20","PICK-UP","68","TOYOTA","79","HILUX 4X4 C/D SR 3.0 TDI - C3","1","Privado","Jurídica","GENERAL VILLEGAS","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
