"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-12","2010-02-03",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Nacional","2010","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON DPLC CONFORT","1","Privado","Física","DON TORCUATO","BUENOS AIRES","Femenino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-21","1995-09-07",1047,"LANUS Nº 1","Buenos Aires","Nacional","1995","","SEDAN 5 PTAS.","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","BºOBRERO-V.ALSINA-LANUS","BUENOS AIRES","No identificado","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-08","2007-05-31",1104,"BERAZATEGUI Nº 1","Buenos Aires","Nacional","2007","","FURGON VIDRIADO C/AS","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","VILLA ESPAÑA","BUENOS AIRES","Femenino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-01","1993-01-05",1189,"FLORENCIO VARELA Nº 2","Buenos Aires","Importado","1993","","DEPORTIVO 3 PUERTAS","047","FORD","009","ESCORT XR3","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","No identificado","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-08","2006-05-18",1265,"PILAR Nº 3","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","PTE. DERQUI","BUENOS AIRES","Masculino","1972","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-28","2009-11-20",1178,"LA MATANZA Nº 08","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON 1.9 D PLC CONFORT","1","Privado","Jurídica","LOMAS DEL MIRADOR","BUENOS AIRES","No aplica","2006","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-15","1993-03-17",1118,"QUILMES Nº 2","Buenos Aires","Importado","1993","","FAMILIAR","104","PEUGEOT","078","405 SR BREAK","1","Privado","Física","BERNAL","BUENOS AIRES","Femenino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-30","1993-09-03",1146,"MERLO Nº 2","Buenos Aires","Protocolo 21","1993","","SEDAN","127","SUZUKI","246","SWIFT GLX SF416NLX","1","Privado","Física","MERLO","BUENOS AIRES","No identificado","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-12","1996-01-18",1269,"LA MATANZA Nº 12","Buenos Aires","Nacional","1995","","BERLINA 5 PTAS.","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-29","2012-08-21",1136,"ADROGUE Nº 2","Buenos Aires","Protocolo 21","2012","","FURGON VIDR.C/7 ASIENTOS","027","CITROEN","236","JUMPER 2.3 HDI PACK","1","Privado","Física","SAN JOSÉ","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-07","1998-11-19",1196,"LA PLATA Nº 08","Buenos Aires","Importado","1998","","FURGON VID.C/ASIENTOS","104","PEUGEOT","344","BOXER 320M 2.5D","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-16","1994-08-26",1185,"ADROGUE Nº 3","Buenos Aires","Importado","1994","","AUTOMOVIL","","FIAT","","UNO 1.4 IE","1","Privado","Física","CLAYPOLE","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-13","1998-04-08",1239,"QUILMES Nº 8","Buenos Aires","Importado","1998","","FURGON VIDRIADO","104","PEUGEOT","131","BOXER 270 CD","1","Privado","Física","BERNAL","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-09-05","2000-06-23",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","2000","","BERLINA 3 PTAS","37","RENAULT","DZ","CLIO RL DIESEL 3 PTAS DA","1","Privado","Física","LOS POLVORINES","BUENOS AIRES","No identificado","1986","ARGENTINA",100,"06","ARG"
