"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-22","2000-04-26",1047,"LANUS Nº 1","Buenos Aires","Nacional","2000","","FURGON 3000","29","MERCEDES BENZ","AB","SPRINTER 312D/F3000","1","Privado","Jurídica","LANUS","BUENOS AIRES","No aplica","2017","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-05","1998-03-25",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","TEMPERLEY","BUENOS AIRES","No identificado","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-06","2010-10-29",1094,"TANDIL Nº 1","Buenos Aires","Nacional","2010","","SEMIRREMOLQUE VOLCAD TRASERO","BA","MONTEBRAS","51","S.P.3","1","Privado","Jurídica","TANDIL","BUENOS AIRES","No aplica","2009","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-18","1999-02-17",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PTAS GL1.7 DIE","1","Privado","Física","LA TABLADA","BUENOS AIRES","No identificado","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-08","1994-02-25",1122,"LOMAS DE ZAMORA Nº 2","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","19 RN BIC.","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Femenino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-27","2007-04-12",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","2007","","FOURGON COURT TYPE 6","07","CITROEN","39","BERLINGO FURGON 1.9D PLC","1","Privado","Física","BELLA VISTA","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-11","2008-01-14",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Importado","2008","","PICK-UP CABINA DOBLE","158","DODGE","821","RAM2500 LARAMIE 4X4TD HEAVY DUTY","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1958","ESPAÑA",50,"06","ESP"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-11","2001-01-04",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Nacional","2001","","FURGON VIDRIADO CON ASIENTOS","07","CITROEN","10","FUR DW8 PLC","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Femenino","1959","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-11","2000-01-28",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","RAFAEL CASTILLO","BUENOS AIRES","Femenino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-05-04","1998-07-03",1178,"LA MATANZA Nº 08","Buenos Aires","Nacional","1998","","UNIDAD TRACTORA","51","SCANIA","58","R114 GA 4X2 NZ 360","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
