"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"COMUNICACIÓN DE RECUPERO","2020-07-31","2000-02-10",1043,"LA PLATA Nº 01","Buenos Aires","Nacional","2000","","5 PUERTAS","08","CHEVROLET","80","CORSA GL 1.6 MPFI 5P (AA+DP)","1","Privado","Jurídica","LA PLATA","BUENOS AIRES","No aplica","2000","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-06","2007-05-07",1045,"LA PLATA Nº 03","Buenos Aires","Protocolo 21","2007","","PICK-UP CABINA DOBLE","102","NISSAN","824","FRONTIER 4X2SE 2.8TDI ELECTRONIC","1","Privado","Física","RINGUELET-LA PLATA","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-08","2009-07-14",1074,"PILAR Nº 1","Buenos Aires","Protocolo 21","2009","","FURGON VIDRIADO C/ASIENTOS","112","RENAULT","562","MASTER DCI 120 CORTO","1","Privado","Física","PILAR","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-17","2001-07-31",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS. GLS 1.7 D","1","Privado","Física","VIRREY DEL PINO-LA MATANZA","BUENOS AIRES","No identificado","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-27","2005-08-17",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2005","","FURGON VIDRIADO","29","MERCEDES BENZ","AU","SPRINTER 311 CDI/F 3550","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Femenino","1998","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-22","2000-10-02",1136,"ADROGUE Nº 2","Buenos Aires","Importado","2000","","MINIBUS","063","IVECO","131","TURBO DAILY 49.12 VIDRIADO","1","Privado","Física","VILLA ANGELA TRUJUI","BUENOS AIRES","Masculino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-27","1999-10-29",1141,"TIGRE Nº 2","Buenos Aires","Nacional","1999","","FURGON VIDRIADO C/AS","34","PEUGEOT","84","PARTNER 1.9D","1","Privado","Física","DON TORCUATO","BUENOS AIRES","Masculino","1949","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-30","2006-01-26",1144,"QUILMES Nº 3","Buenos Aires","Nacional","2006","","AMBULANCIA","29","MERCEDES BENZ","AV","SPRINTER 313 CDI/F 3550","1","Privado","Física","VILLA MAIPÚ","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-16","2000-05-02",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2000","","RURAL 3 PUERTAS","34","PEUGEOT","AG","PARTNER BRKD","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-01","2006-01-18",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","2006","","FURGON TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","I.CASANOVA","BUENOS AIRES","Femenino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-16","1994-11-10",1167,"LOMAS DE ZAMORA Nº 5","Buenos Aires","Nacional","1994","","BERLINA","37","RENAULT","00","RENAULT 11 RL","1","Privado","Física","TURDERA","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-13","1994-02-09",1177,"LOMAS DE ZAMORA Nº 6","Buenos Aires","Nacional","1994","","CHASIS C/CABINA P/CAMION","29","MERCEDES BENZ","50","L 1215/42","1","Privado","Física","LLAVALLOL","BUENOS AIRES","Masculino","1948","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-21","1998-09-03",1183,"OLIVOS Nº 06","Buenos Aires","Nacional","1998","","FURGON 3000","29","MERCEDES BENZ","90","SPRINTER310D/F3000","1","Privado","Física","CARAPACHAY","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-29","2008-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2008","","FURGON VID C/ASIENTO","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-20","1984-03-09",1201,"MAR DEL PLATA Nº 08","Buenos Aires","Nacional","1983","","RURAL 4 PTAS","19","FORD","05","FALCON RURAL VERSION 3.0 L","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","No identificado","1957","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-24","2000-03-21",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2000","","3 PTAS","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","GONZÁLEZ CATÁN","BUENOS AIRES","Femenino","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-08","2006-04-26",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-21","2007-03-29",1243,"BERAZATEGUI Nº 4","Buenos Aires","Protocolo 21","2007","","PICK UP CABINA DOBLE","024","CHEVROLET","417","S10 2.8TDI LIMITED 4X4 ELECTR.CD","1","Privado","Física","GUTIERREZ","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-29","2008-12-17",1265,"PILAR Nº 3","Buenos Aires","Nacional","2008","","FURGON VID C/ASIENTO","37","RENAULT","UR","KANGOO CONFORT 1.5 CDI CD AA DA SVT 1P","1","Privado","Física","DEL VISO","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-30","2008-08-26",1266,"MALVINAS ARGENTINAS Nº 3","Buenos Aires","Nacional","2008","","FURGON VIDRIADO CON ASIENTOS","34","PEUGEOT","DT","PARTNER FURGON 1.9 D PLC CONFORT","1","Privado","Física","TORTUGUITAS","BUENOS AIRES","Masculino","1961","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-22","1997-01-16",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","1997","","CHASIS C/CABINA C/CAJA CARGA","29","MERCEDES BENZ","88","L 710/37 E1","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2020-07-16","1999-01-08",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
